date,country,region,place,cases,deaths,recoveries
2020-01-23,Mainland China,Beijing,,22,0,0
2020-01-23,Mainland China,Chongqing,,9,0,0
2020-01-23,Mainland China,Fujian,,5,0,0
2020-01-23,Mainland China,Gansu,,2,0,0
2020-01-23,Mainland China,Guangdong,,32,0,2
2020-01-23,Mainland China,Guangxi,,5,0,0
2020-01-23,Mainland China,Guizhou,,3,0,0
2020-01-23,Mainland China,Hainan,,5,0,0
2020-01-23,Mainland China,Hebei,,1,1,0
2020-01-23,Mainland China,Heilongjiang,,2,0,0
2020-01-23,Mainland China,Henan,,5,0,0
2020-01-23,Hong Kong,Hong Kong,,2,0,0
2020-01-23,Mainland China,Hubei,,444,17,28
2020-01-23,Mainland China,Hunan,,9,0,0
2020-01-23,Mainland China,Inner Mongolia,,0,0,0
2020-01-23,Mainland China,Jiangsu,,5,0,0
2020-01-23,Mainland China,Jiangxi,,7,0,0
2020-01-23,Mainland China,Jilin,,1,0,0
2020-01-23,Mainland China,Liaoning,,3,0,0
2020-01-23,Macau,Macau,,2,0,0
2020-01-23,Mainland China,Ningxia,,1,0,0
2020-01-23,Mainland China,Qinghai,,0,0,0
2020-01-23,Mainland China,Shaanxi,,3,0,0
2020-01-23,Mainland China,Shandong,,6,0,0
2020-01-23,Mainland China,Shanghai,,16,0,0
2020-01-23,Mainland China,Shanxi,,1,0,0
2020-01-23,Mainland China,Sichuan,,8,0,0
2020-01-23,Taiwan,Taiwan,,1,0,0
2020-01-23,Mainland China,Tianjin,,4,0,0
2020-01-23,Mainland China,Tibet,,0,0,0
2020-01-23,US,Washington,,1,0,0
2020-01-23,Mainland China,Xinjiang,,2,0,0
2020-01-23,Mainland China,Yunnan,,2,0,0
2020-01-23,Mainland China,Zhejiang,,27,0,0
2020-01-23,Japan,,,1,0,0
2020-01-23,Thailand,,,3,0,0
2020-01-23,South Korea,,,1,0,0
2020-01-23,Singapore,,,1,0,0
2020-01-23,Philippines,,,0,0,0
2020-01-23,Malaysia,,,0,0,0
2020-01-23,Vietnam,,,2,0,0
2020-01-23,Australia,,,0,0,0
2020-01-23,Mexico,,,0,0,0
2020-01-23,Brazil,,,0,0,0
2020-01-23,Colombia,,,0,0,0
2020-01-24,Mainland China,Hubei,,549,24,31
2020-01-24,Mainland China,Guangdong,,53,0,2
2020-01-24,Mainland China,Zhejiang,,43,0,1
2020-01-24,Mainland China,Beijing,,36,0,1
2020-01-24,Mainland China,Chongqing,,27,0,0
2020-01-24,Mainland China,Hunan,,24,0,0
2020-01-24,Mainland China,Guangxi,,23,0,0
2020-01-24,Mainland China,Shanghai,,20,0,1
2020-01-24,Mainland China,Jiangxi,,18,0,0
2020-01-24,Mainland China,Sichuan,,15,0,0
2020-01-24,Mainland China,Shandong,,15,0,0
2020-01-24,Mainland China,Anhui,,15,0,0
2020-01-24,Mainland China,Fujian,,10,0,0
2020-01-24,Mainland China,Henan,,9,0,0
2020-01-24,Mainland China,Jiangsu,,9,0,0
2020-01-24,Mainland China,Hainan,,8,0,0
2020-01-24,Mainland China,Tianjin,,8,0,0
2020-01-24,Mainland China,Yunnan,,5,0,0
2020-01-24,Mainland China,Shaanxi,,5,0,0
2020-01-24,Mainland China,Heilongjiang,,4,1,0
2020-01-24,Mainland China,Liaoning,,4,0,0
2020-01-24,Mainland China,Guizhou,,3,0,0
2020-01-24,Mainland China,Jilin,,3,0,0
2020-01-24,Taiwan,Taiwan,,3,0,0
2020-01-24,Mainland China,Ningxia,,2,0,0
2020-01-24,Hong Kong,Hong Kong,,2,0,0
2020-01-24,Macau,Macau,,2,0,0
2020-01-24,Mainland China,Hebei,,2,1,0
2020-01-24,Mainland China,Gansu,,2,0,0
2020-01-24,Mainland China,Xinjiang,,2,0,0
2020-01-24,Mainland China,Shanxi,,1,0,0
2020-01-24,Mainland China,Inner Mongolia,,1,0,0
2020-01-24,Mainland China,Qinghai,,0,0,0
2020-01-24,US,Washington,,1,0,0
2020-01-24,US,Chicago,,1,0,0
2020-01-24,Japan,,,2,0,0
2020-01-24,Thailand,,,5,0,0
2020-01-24,South Korea,,,2,0,0
2020-01-24,Singapore,,,3,0,0
2020-01-24,Vietnam,,,2,0,0
2020-01-24,France,,,2,0,0
2020-01-25,Mainland China,Hubei,,761,40,32
2020-01-25,Mainland China,Guangdong,,78,0,2
2020-01-25,Mainland China,Zhejiang,,62,0,1
2020-01-25,Mainland China,Chongqing,,57,0,0
2020-01-25,Mainland China,Hunan,,43,0,0
2020-01-25,Mainland China,Beijing,,41,0,2
2020-01-25,Mainland China,Anhui,,39,0,0
2020-01-25,Mainland China,Shanghai,,33,0,1
2020-01-25,Mainland China,Henan,,32,0,0
2020-01-25,Mainland China,Sichuan,,28,0,0
2020-01-25,Mainland China,Shandong,,27,0,0
2020-01-25,Mainland China,Guangxi,,23,0,0
2020-01-25,Mainland China,Hainan,,19,0,0
2020-01-25,Mainland China,Jiangxi,,18,0,0
2020-01-25,Mainland China,Fujian,,18,0,0
2020-01-25,Mainland China,Jiangsu,,18,0,1
2020-01-25,Mainland China,Liaoning,,17,0,0
2020-01-25,Mainland China,Shaanxi,,15,0,0
2020-01-25,Mainland China,Yunnan,,11,0,0
2020-01-25,Mainland China,Tianjin,,10,0,0
2020-01-25,Mainland China,Heilongjiang,,9,1,0
2020-01-25,Mainland China,Hebei,,8,1,0
2020-01-25,Mainland China,Inner Mongolia,,7,0,0
2020-01-25,Mainland China,Shanxi,,6,0,0
2020-01-25,Hong Kong,Hong Kong,,5,0,0
2020-01-25,Mainland China,Guizhou,,4,0,0
2020-01-25,Mainland China,Jilin,,4,0,0
2020-01-25,Mainland China,Gansu,,4,0,0
2020-01-25,Mainland China,Ningxia,,3,0,0
2020-01-25,Taiwan,Taiwan,,3,0,0
2020-01-25,Mainland China,Xinjiang,,3,0,0
2020-01-25,Macau,Macau,,2,0,0
2020-01-25,Mainland China,Qinghai,,1,0,0
2020-01-25,US,Washington,,1,0,0
2020-01-25,US,Illinois,,1,0,0
2020-01-25,Japan,,,2,0,0
2020-01-25,Thailand,,,7,0,0
2020-01-25,South Korea,,,2,0,0
2020-01-25,Singapore,,,3,0,0
2020-01-25,Vietnam,,,2,0,0
2020-01-25,France,,,3,0,0
2020-01-25,Australia,,,4,0,0
2020-01-25,Nepal,,,1,0,0
2020-01-25,Malaysia,,,3,0,0
2020-01-26,Mainland China,Hubei,,1058,52,42
2020-01-26,Mainland China,Guangdong,,111,0,2
2020-01-26,Mainland China,Zhejiang,,104,0,1
2020-01-26,Mainland China,Henan,,83,1,0
2020-01-26,Mainland China,Chongqing,,75,0,0
2020-01-26,Mainland China,Hunan,,69,0,0
2020-01-26,Mainland China,Beijing,,68,0,2
2020-01-26,Mainland China,Anhui,,60,0,0
2020-01-26,Mainland China,Shandong,,46,0,0
2020-01-26,Mainland China,Sichuan,,44,0,0
2020-01-26,Mainland China,Shanghai,,40,1,1
2020-01-26,Mainland China,Guangxi,,36,0,0
2020-01-26,Mainland China,Jiangxi,,36,0,0
2020-01-26,Mainland China,Fujian,,35,0,0
2020-01-26,Mainland China,Jiangsu,,33,0,1
2020-01-26,Mainland China,Hainan,,22,0,0
2020-01-26,Mainland China,Shaanxi,,22,0,0
2020-01-26,Mainland China,Liaoning,,21,0,0
2020-01-26,Mainland China,Yunnan,,16,0,0
2020-01-26,Mainland China,Heilongjiang,,15,1,0
2020-01-26,Mainland China,Tianjin,,14,0,0
2020-01-26,Mainland China,Hebei,,13,1,0
2020-01-26,Mainland China,Shanxi,,9,0,0
2020-01-26,Hong Kong,Hong Kong,,8,0,0
2020-01-26,Mainland China,Inner Mongolia,,7,0,0
2020-01-26,Mainland China,Gansu,,7,0,0
2020-01-26,Mainland China,Guizhou,,5,0,0
2020-01-26,Macau,Macau,,5,0,0
2020-01-26,Mainland China,Ningxia,,4,0,0
2020-01-26,Mainland China,Jilin,,4,0,0
2020-01-26,Taiwan,Taiwan,,4,0,0
2020-01-26,Mainland China,Xinjiang,,4,0,0
2020-01-26,Mainland China,Qinghai,,1,0,0
2020-01-26,US,Washington,,1,0,0
2020-01-26,US,Illinois,,1,0,0
2020-01-26,US,California,,2,0,0
2020-01-26,US,Arizona,,1,0,0
2020-01-26,Japan,,,4,0,1
2020-01-26,Thailand,,,8,0,2
2020-01-26,South Korea,,,3,0,0
2020-01-26,Singapore,,,4,0,0
2020-01-26,Vietnam,,,2,0,0
2020-01-26,France,,,3,0,0
2020-01-26,Australia,,,4,0,0
2020-01-26,Nepal,,,1,0,0
2020-01-26,Malaysia,,,4,0,0
2020-01-26,Canada,Ontario,,1,0,0
2020-01-27,Mainland China,Hubei,,1423,76,45
2020-01-27,Mainland China,Guangdong,,151,0,4
2020-01-27,Mainland China,Zhejiang,,128,0,1
2020-01-27,Mainland China,Henan,,128,1,0
2020-01-27,Mainland China,Chongqing,,110,0,0
2020-01-27,Mainland China,Hunan,,100,0,0
2020-01-27,Mainland China,Beijing,,80,1,2
2020-01-27,Mainland China,Shandong,,75,0,0
2020-01-27,Mainland China,Jiangxi,,72,0,2
2020-01-27,Mainland China,Anhui,,70,0,0
2020-01-27,Mainland China,Sichuan,,69,0,0
2020-01-27,Mainland China,Fujian,,59,0,0
2020-01-27,Mainland China,Shanghai,,53,1,3
2020-01-27,Mainland China,Jiangsu,,47,0,1
2020-01-27,Mainland China,Guangxi,,46,0,0
2020-01-27,Mainland China,Shaanxi,,35,0,0
2020-01-27,Mainland China,Hainan,,33,1,0
2020-01-27,Mainland China,Liaoning,,27,0,0
2020-01-27,Mainland China,Yunnan,,26,0,0
2020-01-27,Mainland China,Tianjin,,23,0,0
2020-01-27,Mainland China,Heilongjiang,,21,1,0
2020-01-27,Mainland China,Hebei,,18,1,0
2020-01-27,Mainland China,Gansu,,14,0,0
2020-01-27,Mainland China,Shanxi,,13,0,0
2020-01-27,Mainland China,Inner Mongolia,,11,0,0
2020-01-27,Hong Kong,Hong Kong,,8,0,0
2020-01-27,Mainland China,Guizhou,,7,0,0
2020-01-27,Mainland China,Ningxia,,7,0,0
2020-01-27,Mainland China,Jilin,,6,0,0
2020-01-27,Macau,Macau,,6,0,0
2020-01-27,Mainland China,Qinghai,,6,0,0
2020-01-27,Taiwan,Taiwan,,5,0,0
2020-01-27,Mainland China,Xinjiang,,5,0,0
2020-01-27,US,Washington,,1,0,0
2020-01-27,US,Illinois,,1,0,0
2020-01-27,US,California,,2,0,0
2020-01-27,US,Arizona,,1,0,0
2020-01-27,Japan,,,4,0,1
2020-01-27,Thailand,,,8,0,2
2020-01-27,South Korea,,,4,0,0
2020-01-27,Singapore,,,5,0,0
2020-01-27,Vietnam,,,2,0,0
2020-01-27,France,,,3,0,0
2020-01-27,Nepal,,,1,0,0
2020-01-27,Malaysia,,,4,0,0
2020-01-27,Canada,Ontario,,1,0,0
2020-01-27,Cambodia,,,1,0,0
2020-01-27,Sri Lanka,,,1,0,0
2020-01-27,Ivory Coast,,,1,0,0
2020-01-27,Australia,New South Wales,,4,0,0
2020-01-27,Australia,Victoria,,1,0,0
2020-01-28,Mainland China,Hubei,,3554,125,80
2020-01-28,Mainland China,Guangdong,,207,0,4
2020-01-28,Mainland China,Zhejiang,,173,0,3
2020-01-28,Mainland China,Henan,,168,1,0
2020-01-28,Mainland China,Hunan,,143,0,0
2020-01-28,Mainland China,Chongqing,,132,0,0
2020-01-28,Mainland China,Jiangxi,,109,0,3
2020-01-28,Mainland China,Anhui,,106,0,0
2020-01-28,Mainland China,Shandong,,95,0,0
2020-01-28,Mainland China,Beijing,,91,1,4
2020-01-28,Mainland China,Sichuan,,90,0,0
2020-01-28,Mainland China,Fujian,,80,0,0
2020-01-28,Mainland China,Jiangsu,,70,0,1
2020-01-28,Mainland China,Shanghai,,66,1,4
2020-01-28,Mainland China,Guangxi,,51,0,2
2020-01-28,Mainland China,Shaanxi,,46,0,0
2020-01-28,Mainland China,Yunnan,,44,0,0
2020-01-28,Mainland China,Hainan,,40,1,0
2020-01-28,Mainland China,Liaoning,,34,0,0
2020-01-28,Mainland China,Hebei,,33,1,0
2020-01-28,Mainland China,Heilongjiang,,33,1,0
2020-01-28,Mainland China,Shanxi,,27,0,0
2020-01-28,Mainland China,Tianjin,,24,0,0
2020-01-28,Mainland China,Gansu,,19,0,0
2020-01-28,Mainland China,Inner Mongolia,,15,0,0
2020-01-28,Mainland China,Ningxia,,11,0,0
2020-01-28,Mainland China,Xinjiang,,10,0,0
2020-01-28,Mainland China,Guizhou,,9,0,0
2020-01-28,Mainland China,Jilin,,8,0,0
2020-01-28,Taiwan,Taiwan,,8,0,0
2020-01-28,Hong Kong,Hong Kong,,8,0,0
2020-01-28,Macau,Macau,,7,0,0
2020-01-28,Mainland China,Qinghai,,6,0,0
2020-01-28,US,Washington,,1,0,0
2020-01-28,US,Illinois,,1,0,0
2020-01-28,US,California,,2,0,0
2020-01-28,US,Arizona,,1,0,0
2020-01-28,Japan,,,7,0,1
2020-01-28,Thailand,,,14,0,5
2020-01-28,South Korea,,,4,0,0
2020-01-28,Singapore,,,7,0,0
2020-01-28,Vietnam,,,2,0,0
2020-01-28,France,,,4,0,0
2020-01-28,Nepal,,,1,0,0
2020-01-28,Malaysia,,,4,0,0
2020-01-28,Canada,Ontario,,1,0,0
2020-01-28,Canada,British Columbia,,1,0,0
2020-01-28,Cambodia,,,1,0,0
2020-01-28,Sri Lanka,,,1,0,0
2020-01-28,Australia,New South Wales,,4,0,0
2020-01-28,Australia,Victoria,,1,0,0
2020-01-28,Germany,Bavaria,,4,0,0
2020-01-29,Mainland China,Hubei,,3554,125,88
2020-01-29,Mainland China,Zhejiang,,296,0,3
2020-01-29,Mainland China,Guangdong,,277,0,5
2020-01-29,Mainland China,Hunan,,221,0,0
2020-01-29,Mainland China,Henan,,206,2,1
2020-01-29,Mainland China,Anhui,,152,0,2
2020-01-29,Mainland China,Chongqing,,147,0,1
2020-01-29,Mainland China,Shandong,,130,0,1
2020-01-29,Mainland China,Beijing,,111,1,4
2020-01-29,Mainland China,Jiangxi,,109,0,3
2020-01-29,Mainland China,Sichuan,,108,1,1
2020-01-29,Mainland China,Jiangsu,,99,0,1
2020-01-29,Mainland China,Shanghai,,96,1,5
2020-01-29,Mainland China,Fujian,,84,0,0
2020-01-29,Mainland China,Guangxi,,58,0,2
2020-01-29,Mainland China,Shaanxi,,56,0,0
2020-01-29,Mainland China,Yunnan,,55,0,0
2020-01-29,Mainland China,Hebei,,48,1,0
2020-01-29,Mainland China,Hainan,,43,1,0
2020-01-29,Mainland China,Liaoning,,39,0,1
2020-01-29,Mainland China,Heilongjiang,,38,1,0
2020-01-29,Mainland China,Tianjin,,27,0,0
2020-01-29,Mainland China,Shanxi,,27,0,1
2020-01-29,Mainland China,Gansu,,24,0,0
2020-01-29,Mainland China,Inner Mongolia,,16,0,0
2020-01-29,Mainland China,Xinjiang,,13,0,0
2020-01-29,Mainland China,Ningxia,,12,0,0
2020-01-29,Hong Kong,Hong Kong,,10,0,0
2020-01-29,Mainland China,Guizhou,,9,0,1
2020-01-29,Mainland China,Jilin,,9,0,0
2020-01-29,Taiwan,Taiwan,,8,0,0
2020-01-29,Macau,Macau,,7,0,0
2020-01-29,Mainland China,Qinghai,,6,0,0
2020-01-29,US,Washington,,1,0,0
2020-01-29,US,Illinois,,1,0,0
2020-01-29,US,California,,2,0,0
2020-01-29,US,Arizona,,1,0,0
2020-01-29,Japan,,,7,0,1
2020-01-29,Thailand,,,14,0,5
2020-01-29,South Korea,,,4,0,0
2020-01-29,Singapore,,,7,0,0
2020-01-29,Vietnam,,,2,0,0
2020-01-29,France,,,5,0,0
2020-01-29,Nepal,,,1,0,0
2020-01-29,Malaysia,,,7,0,0
2020-01-29,Canada,Ontario,,1,0,0
2020-01-29,Canada,British Columbia,,1,0,0
2020-01-29,Cambodia,,,1,0,0
2020-01-29,Sri Lanka,,,1,0,0
2020-01-29,Australia,New South Wales,,4,0,0
2020-01-29,Australia,Victoria,,1,0,0
2020-01-29,Germany,Bavaria,,4,0,0
2020-01-29,Finland,,,1,0,0
2020-01-29,United Arab Emirates,,,4,0,0
2020-01-30,Mainland China,Hubei,,4903,162,90
2020-01-30,Mainland China,Zhejiang,,428,0,4
2020-01-30,Mainland China,Guangdong,,354,0,10
2020-01-30,Mainland China,Henan,,278,2,2
2020-01-30,Mainland China,Hunan,,277,0,2
2020-01-30,Mainland China,Anhui,,200,0,2
2020-01-30,Mainland China,Chongqing,,182,0,1
2020-01-30,Mainland China,Jiangxi,,162,0,5
2020-01-30,Mainland China,Shandong,,158,0,1
2020-01-30,Mainland China,Sichuan,,142,1,1
2020-01-30,Mainland China,Jiangsu,,129,0,1
2020-01-30,Mainland China,Beijing,,114,1,4
2020-01-30,Mainland China,Shanghai,,112,1,5
2020-01-30,Mainland China,Fujian,,101,0,0
2020-01-30,Mainland China,Guangxi,,78,0,2
2020-01-30,Mainland China,Yunnan,,70,0,0
2020-01-30,Mainland China,Hebei,,65,1,0
2020-01-30,Mainland China,Shaanxi,,63,0,0
2020-01-30,Mainland China,Hainan,,46,1,1
2020-01-30,Mainland China,Heilongjiang,,44,2,0
2020-01-30,Mainland China,Liaoning,,41,0,1
2020-01-30,Mainland China,Shanxi,,35,0,1
2020-01-30,Mainland China,Tianjin,,31,0,0
2020-01-30,Mainland China,Gansu,,26,0,0
2020-01-30,Mainland China,Inner Mongolia,,19,0,0
2020-01-30,Mainland China,Ningxia,,17,0,0
2020-01-30,Mainland China,Jilin,,14,0,1
2020-01-30,Mainland China,Xinjiang,,14,0,0
2020-01-30,Mainland China,Guizhou,,12,0,1
2020-01-30,Hong Kong,Hong Kong,,10,0,0
2020-01-30,Taiwan,Taiwan,,9,0,0
2020-01-30,Mainland China,Qinghai,,8,0,0
2020-01-30,Macau,Macau,,7,0,0
2020-01-30,Mainland China,Tibet,,1,0,0
2020-01-30,US,Washington,,1,0,0
2020-01-30,US,Illinois,,1,0,0
2020-01-30,US,California,,2,0,0
2020-01-30,US,Arizona,,1,0,0
2020-01-30,Japan,,,11,0,1
2020-01-30,Thailand,,,14,0,5
2020-01-30,South Korea,,,4,0,0
2020-01-30,Singapore,,,10,0,0
2020-01-30,Vietnam,,,2,0,0
2020-01-30,France,,,5,0,0
2020-01-30,Nepal,,,1,0,0
2020-01-30,Malaysia,,,8,0,0
2020-01-30,Canada,Ontario,,2,0,0
2020-01-30,Canada,British Columbia,,1,0,0
2020-01-30,Cambodia,,,1,0,0
2020-01-30,Sri Lanka,,,1,0,0
2020-01-30,Australia,New South Wales,,4,0,2
2020-01-30,Australia,Victoria,,2,0,0
2020-01-30,Australia,Queensland,,3,0,0
2020-01-30,Germany,Bavaria,,4,0,0
2020-01-30,Finland,,,1,0,0
2020-01-30,United Arab Emirates,,,4,0,0
2020-01-30,Philippines,,,1,0,0
2020-01-30,India,,,1,0,0
2020-01-31,Mainland China,Hubei,,5806,204,141
2020-01-31,Mainland China,Zhejiang,,538,0,14
2020-01-31,Mainland China,Guangdong,,436,0,11
2020-01-31,Mainland China,Henan,,352,2,3
2020-01-31,Mainland China,Hunan,,332,0,2
2020-01-31,Mainland China,Jiangxi,,240,0,7
2020-01-31,Mainland China,Anhui,,237,0,3
2020-01-31,Mainland China,Chongqing,,211,0,1
2020-01-31,Mainland China,Shandong,,184,0,2
2020-01-31,Mainland China,Sichuan,,177,1,1
2020-01-31,Mainland China,Jiangsu,,168,0,5
2020-01-31,Mainland China,Beijing,,139,1,5
2020-01-31,Mainland China,Shanghai,,135,1,9
2020-01-31,Mainland China,Fujian,,120,0,0
2020-01-31,Mainland China,Guangxi,,87,0,2
2020-01-31,Mainland China,Shaanxi,,87,0,0
2020-01-31,Mainland China,Yunnan,,83,0,1
2020-01-31,Mainland China,Hebei,,82,1,0
2020-01-31,Mainland China,Heilongjiang,,59,2,0
2020-01-31,Mainland China,Hainan,,52,1,1
2020-01-31,Mainland China,Liaoning,,48,0,1
2020-01-31,Mainland China,Shanxi,,39,0,1
2020-01-31,Mainland China,Tianjin,,32,0,0
2020-01-31,Mainland China,Guizhou,,29,0,2
2020-01-31,Mainland China,Gansu,,29,0,0
2020-01-31,Mainland China,Ningxia,,21,0,0
2020-01-31,Mainland China,Inner Mongolia,,20,0,1
2020-01-31,Mainland China,Xinjiang,,17,0,0
2020-01-31,Mainland China,Jilin,,14,0,1
2020-01-31,Hong Kong,Hong Kong,,12,0,0
2020-01-31,Taiwan,Taiwan,,10,0,0
2020-01-31,Mainland China,Qinghai,,8,0,0
2020-01-31,Macau,Macau,,7,0,0
2020-01-31,Mainland China,Tibet,,1,0,0
2020-01-31,Thailand,,,19,0,5
2020-01-31,Japan,,,15,0,1
2020-01-31,Singapore,,,13,0,0
2020-01-31,South Korea,,,11,0,0
2020-01-31,Malaysia,,,8,0,0
2020-01-31,France,,,5,0,0
2020-01-31,Germany,Bavaria,,5,0,0
2020-01-31,Australia,New South Wales,,4,0,2
2020-01-31,United Arab Emirates,,,4,0,0
2020-01-31,Australia,Victoria,,3,0,0
2020-01-31,US,Illinois,,2,0,0
2020-01-31,US,California,,2,0,0
2020-01-31,Vietnam,,,2,0,0
2020-01-31,Canada,Ontario,,2,0,0
2020-01-31,Australia,Queensland,,2,0,0
2020-01-31,Italy,,,2,0,0
2020-01-31,UK,,,2,0,0
2020-01-31,Russia,,,2,0,0
2020-01-31,US,Washington,,1,0,0
2020-01-31,US,Arizona,,1,0,0
2020-01-31,Nepal,,,1,0,0
2020-01-31,Canada,British Columbia,,1,0,0
2020-01-31,Cambodia,,,1,0,0
2020-01-31,Sri Lanka,,,1,0,0
2020-01-31,Finland,,,1,0,0
2020-01-31,Philippines,,,1,0,0
2020-01-31,India,,,1,0,0
2020-01-31,Sweden,,,1,0,0
2020-02-01,Mainland China,Hubei,,7153,249,168
2020-02-01,Mainland China,Zhejiang,,599,0,21
2020-02-01,Mainland China,Guangdong,,535,0,14
2020-02-01,Mainland China,Henan,,422,2,3
2020-02-01,Mainland China,Hunan,,389,0,8
2020-02-01,Mainland China,Anhui,,297,0,5
2020-02-01,Mainland China,Jiangxi,,286,0,9
2020-02-01,Mainland China,Chongqing,,247,1,3
2020-02-01,Mainland China,Sichuan,,207,1,3
2020-02-01,Mainland China,Shandong,,206,0,3
2020-02-01,Mainland China,Jiangsu,,202,0,6
2020-02-01,Mainland China,Shanghai,,169,1,10
2020-02-01,Mainland China,Beijing,,168,1,9
2020-02-01,Mainland China,Fujian,,144,0,0
2020-02-01,Mainland China,Shaanxi,,101,0,0
2020-02-01,Mainland China,Guangxi,,100,0,2
2020-02-01,Mainland China,Hebei,,96,1,0
2020-02-01,Mainland China,Yunnan,,93,0,2
2020-02-01,Mainland China,Heilongjiang,,80,2,2
2020-02-01,Mainland China,Liaoning,,64,0,1
2020-02-01,Mainland China,Hainan,,62,1,1
2020-02-01,Mainland China,Shanxi,,47,0,1
2020-02-01,Mainland China,Tianjin,,41,0,0
2020-02-01,Mainland China,Gansu,,40,0,0
2020-02-01,Mainland China,Guizhou,,29,0,2
2020-02-01,Mainland China,Ningxia,,26,0,0
2020-02-01,Mainland China,Inner Mongolia,,23,0,1
2020-02-01,Japan,,,20,0,1
2020-02-01,Thailand,,,19,0,5
2020-02-01,Mainland China,Xinjiang,,18,0,0
2020-02-01,Mainland China,Jilin,,17,0,1
2020-02-01,Singapore,,,16,0,0
2020-02-01,Hong Kong,Hong Kong,,13,0,0
2020-02-01,South Korea,,,12,0,0
2020-02-01,Taiwan,Taiwan,,10,0,0
2020-02-01,Mainland China,Qinghai,,9,0,0
2020-02-01,Malaysia,,,8,0,0
2020-02-01,Germany,,,8,0,0
2020-02-01,Macau,Macau,,7,0,0
2020-02-01,France,,,6,0,0
2020-02-01,Vietnam,,,6,0,1
2020-02-01,Australia,New South Wales,,4,0,2
2020-02-01,Australia,Victoria,,4,0,0
2020-02-01,United Arab Emirates,,,4,0,0
2020-02-01,Australia,Queensland,,3,0,0
2020-02-01,Canada,Ontario,,3,0,0
2020-02-01,Italy,,,2,0,0
2020-02-01,Russia,,,2,0,0
2020-02-01,UK,,,2,0,0
2020-02-01,US,"Chicago, IL",,2,0,0
2020-02-01,Australia,South Australia,,1,0,0
2020-02-01,Cambodia,,,1,0,0
2020-02-01,Canada,British Columbia,,1,0,0
2020-02-01,Finland,,,1,0,0
2020-02-01,India,,,1,0,0
2020-02-01,Mainland China,Tibet,,1,0,0
2020-02-01,Nepal,,,1,0,0
2020-02-01,Philippines,,,1,0,0
2020-02-01,Spain,,,1,0,0
2020-02-01,Sri Lanka,,,1,0,0
2020-02-01,Sweden,,,1,0,0
2020-02-01,US,"Boston, MA",,1,0,0
2020-02-01,US,"Los Angeles, CA",,1,0,0
2020-02-01,US,"Orange, CA",,1,0,0
2020-02-01,US,"Santa Clara, CA",,1,0,0
2020-02-01,US,"Seattle, WA",,1,0,0
2020-02-01,US,"Tempe, AZ",,1,0,0
2020-02-02,Mainland China,Hubei,,11177,350,295
2020-02-02,Mainland China,Zhejiang,,661,0,32
2020-02-02,Mainland China,Guangdong,,632,0,15
2020-02-02,Mainland China,Henan,,493,2,10
2020-02-02,Mainland China,Hunan,,463,0,16
2020-02-02,Mainland China,Anhui,,340,0,7
2020-02-02,Mainland China,Jiangxi,,333,0,12
2020-02-02,Mainland China,Chongqing,,300,2,7
2020-02-02,Mainland China,Jiangsu,,236,0,7
2020-02-02,Mainland China,Sichuan,,231,1,11
2020-02-02,Mainland China,Shandong,,230,0,6
2020-02-02,Mainland China,Beijing,,191,1,9
2020-02-02,Mainland China,Shanghai,,182,1,10
2020-02-02,Mainland China,Fujian,,159,0,0
2020-02-02,Mainland China,Shaanxi,,116,0,0
2020-02-02,Mainland China,Guangxi,,111,0,2
2020-02-02,Mainland China,Yunnan,,105,0,3
